shots_ontarget_win,shots_ontarget_lost,shots_offtarget_win,shots_offtarget_lost,shotsblocked_win,shotsblocked_lost,chances2score_win,chances2score_lost,drib_success_win,drib_success_lost,drib_unsuccess_win,drib_unsuccess_lost,keypasses_win,keypasses_lost,owngoals_win,owngoals_lost,dangmistakes_win,dangmistakes_lost,ycards_win,ycards_lost,rcards_win,rcards_lost,interceptions_win,interceptions_lost,Predicted_Value,fixture_id
5.0,3.0,7.0,5.0,3.0,0.99999994,5.0,5.0,7.0,8.0,8.0,6.0,3.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,1.0,1.0,3.0,2.0,4.982384e-10,-1.5483717e-09,15.0,14.0,0.98275083,1711021
5.0,3.0,6.0,7.0,2.0,2.0,9.0,8.0,5.0,5.0,3.0,3.0,5.0,0.99999994,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,2.0,1.0,4.0,4.982384e-10,-1.5483717e-09,22.0,24.0,0.98388565,1711162
4.0,4.0,7.0,5.0,4.0,3.0,7.0,8.0,2.0,7.0,4.0,-6.3774515e-08,2.0,5.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,-4.2189296e-08,2.0,4.982384e-10,-1.5483717e-09,21.0,24.0,0.024974613,1710895
7.0,1.5796458e-07,8.0,4.0,2.0,-6.181222e-08,12.0,3.0,4.0,7.0,3.0,1.9999999,5.0,0.99999994,-1.8396495e-10,-2.7594743e-10,5.0,1.0,-4.2189296e-08,2.0,4.982384e-10,-1.5483717e-09,11.999999,31.0,0.99534816,1711062
3.0,7.0,9.0,6.0,4.0,0.99999994,9.0,10.0,3.0,1.9999998,3.0,4.0,2.0,10.0,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,1.0,1.0,4.982384e-10,0.99999994,16.0,21.0,0.99437696,1711119
5.0,2.0,5.0,6.0,3.0,-6.181222e-08,7.0,7.0,10.0,5.0,13.0,7.0,4.0,6.0,-1.8396495e-10,-2.7594743e-10,2.0,3.0,1.0,-6.426509e-08,4.982384e-10,-1.5483717e-09,31.0,26.0,0.9950907,1711018
3.0,3.0,7.0,7.0,2.0,4.0,10.0,5.0,5.0,0.99999976,5.0,0.99999994,4.0,5.0,-1.8396495e-10,-2.7594743e-10,1.0,2.0,5.0,1.0,4.982384e-10,-1.5483717e-09,28.0,22.0,0.0049198233,1710844
5.0,2.0,9.0,4.0,5.0,-6.181222e-08,9.0,6.0,10.0,3.0,2.0,6.0,5.0,3.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,21.0,21.0,0.062103566,1710818
2.0,3.0,4.0,7.0,1.0,3.0,6.0,6.0,2.0,5.0,5.0,1.9999999,2.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,3.0,1.0,3.0,-6.426509e-08,4.982384e-10,-1.5483717e-09,21.0,19.0,0.0037171855,1710852
1.0498267e-07,2.0,8.0,6.0,5.0,2.0,3.0000002,5.0,10.0,6.0,6.0,3.0,2.0,0.99999994,-1.8396495e-10,-2.7594743e-10,2.0,1.1283184e-08,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,28.0,14.0,0.007769637,1710838
